Unique_Op_ID,Index,Bid_Status,Last_Update,Update_Comment,Bid_Type,Client,Project,Region,Country,Water_Depth_Min,Water_Depth_Max,Survey_Type,Date_Received,Date_Submitted,Node_Type,Crew Node
202211_RFP_ENI_CON_DRC_NOAR,30,No Sale,2-Oct-2024,No sale,RFP,ENI,Congo,WAF,DRC,5,110,NOAR,2-Nov-2022,8-Dec-2022,Z700,3500
202211_RFP_PETR_M1_MAL_NOAR,31,Lost,2-Oct-2024,Lost to SAE,RFP,Petronas,M1,APAC,Malaysia,130,130,NOAR,11-Nov-2022,9-Dec-2022,Z700,4000
202301_RFP_PETR_MAR_BRA_ROV,29,Lost,2-Oct-2024,Lost to PXGEO,RFP,Petrobras,Marlin,SAM,Brazil,400,2300,ROV,6-Jan-2023,16-Mar-2023,MASS,4000
202301_DIR_VIRI_INC_USA_ROV,,Award,10-Oct-2024,Direct Award,DIR,Viridien,Inception,GOM,USA,2000,2300,ROV,17-Jan-2023,n/a,,
202302_RFP_NEO_ISO_UK_NOAR,,Award,10-Oct-2024,Won,RFP,NEO,Isolde,North Sea,UK,75,95,NOAR,1-Feb-2023,10-Feb-2023,Z700,4000
202303_RFP_CNR_KOS_IVO_ROV,28,No Sale,2-Oct-2024,No sale,RFP,CNR,Kossipo,WAF,Ivory Coast,1000,1500,ROV,10-Mar-2023,19-Apr-2023,MASS,800
202303_RFP_SHEL_STO_USA_ROV,27,Lost,2-Oct-2024,Lost to PXGEO,RFP,Shell,Stones (Kaikias),GOM,USA,1900,2900,ROV,16-Mar-2023,6-Apr-2023,ZXPLR,1500
202303_RFP_OCCI_K2 _USA_ROV,26,Award,2-Oct-2024,Won,RFP,Occidental,K2 Re-Tender,GOM,USA,1000,1500,ROV,22-Mar-2023,1-May-2023,MASS,1800
202304_RFP_WOOD_ORI_USA_ROV,25,No Sale,2-Oct-2024,No sale,RFP,Woodside,Orion,GOM,USA,500,1700,ROV,25-Apr-2023,5-Jun-2023,ZXPLR,2500
202304_RFP_TOTA_SUR_SUR_ROV,24,Lost,2-Oct-2024,Lost to PXGEO,RFP,Total,Suriname,SAM,Suriname,70,1200,ROV,27-Apr-2023,22-Jun-2023,MASS,4000
